data_collected	plot	species	sex	weight 	calibrated
1978-01-08	4	DM	F	37	yes
1978-01-08	4	DM	M	null	null
1978-01-08	4	DM	F	48	yes
1978-01-08	4	DO 	M	52	yes
1978-01-08	4	OL	M	35	yes
2013-07-16	2	DM	F	null	null
2013-07-16	7	DM	M	33	yes
2013-07-16	3	DM	M	null	null
2013-07-16	1	DM	M	null	null
2013-07-18	3	DM	M	40	yes
2013-07-18	7	DM	M	48	yes
2013-07-18	4	DM	F	29	yes
2013-07-18	6	DM	F	37	yes
2013-08-19	8	DO 	F	52	yes
2013-10-17	3	DO 	F	33	yes
2013-10-17	3	DO 	F	50	yes
2013-11-12	9	DS	F	117	yes
2013-11-13	11	DS	F	126	yes
2013-11-13	17	DS	M	132	no
2013-11-13	14	DS	F	113	no
2013-11-13	11	DS	F	122	yes
2013-11-13	4	DS	F	107	yes
2013-11-13	4	DS	F	115	yes
2013-12-10	9	DO 	F	40	yes
2013-12-10	1	DO 	M	45	yes
2013-12-11	8	DO 	F	41	yes
2014-01-08	2	NA	null	null	null
2014-01-08	2	DM	M	44	yes
2014-01-08	2	PF	F	7	yes
2014-01-08	2	DM	M	45	yes
2014-01-08	2	OT	null	null	null
2014-01-08	2	DS	M	157	no
2014-01-08	2	OX	null	null	null
2014-01-09	1	DM	M	40	yes
2014-01-09	1	DM	F	36	yes
2014-02-18	2	NA	M	218	no
2014-02-18	2	PF	F	7	yes
2014-02-18	2	DM	M	52	yes
2014-03-13	1	DM	F	51	yes
2014-03-13	1	DM	F	44	yes
2014-03-13	1	DS	F	146	yes
2015-03-11	3	PF	M	8	yes
2015-04-08	3	NA	F	null	yes
2015-05-06	3		null	null	null
2015-05-18	3	NA	F	182	yes
2015-06-09	3	OT	F	29	yes
2015-07-08	3	NA	F	115	yes
2015-07-08	3	NA	M	190	yes
